donor, acceptor, , 
28816.46, -4901.48, , 
21855.43, -6569.21, , 
30142.63, -1862.78, , 
32126.93, 428.81, , 
34172.71, 936.86, , 
29641.47, -2364.59, , 
37530.74, -891.96, , 
30502.83, -1904.03, , 
27757.66, 2628.11, , 
27742.95, -3292.87, , 
23730.11, 1736.67, , 
26399.71, -96.02, , 
30724.79, 249.72, , 
35531.61, 4913.13, , 
41173.90, 2082.18, , 
35448.44, 5824.27, , 
29521.80, 1228.41, , 
37204.46, -111.57, , 
36220.63, -2467.63, , 
29929.35, -1914.96, , 
31581.04, -2910.50, , 
34778.91, -3708.87, , 
40867.59, -5398.61, , 
36899.73, 1406.18, , 
26843.23, -2843.28, , 
28234.64, -4251.44, , 
20870.10, 1231.31, , 
19823.18, -2104.77, , 
19923.01, -3901.61, , 
21658.72, 2271.10, , 
10676.81, 993.29, , 
12693.96, -377.13, , 
15103.02, 474.98, , 
14914.22, 6127.06, , 
12273.69, 925.53, , 
12543.67, -1941.19, , 
13389.04, 1880.99, , 
14127.59, 10212.99, , 
10365.15, 9563.37, , 
3836.86, 2918.48, , 
2290.15, 955.97, , 
5679.02, -6403.95, , 
9684.29, 2452.86, , 
6375.60, -556.40, , 
1735.95, -1058.99, , 
3624.93, 35.00, , 
5643.52, 2866.74, , 
7936.49, -1427.85, , 
3457.65, -2758.59, , 
-333.00, -327.29, , 
659.85, 265.17, , 
4154.73, 5915.78, , 
-637.80, 1989.43, , 
1762.79, -410.80, , 
-2980.79, 2401.78, , 
4014.33, 4253.18, , 
1336.07, 200.25, , 
-1563.77, -4207.19, , 
-815.08, -1055.23, , 
-97.10, -1463.84, , 
617.65, -1615.20, , 
-667.25, -73.16, , 
1349.85, -1560.76, , 
-1976.58, -2761.66, , 
-482.88, -1905.32, , 
-566.73, -269.97, , 
-2874.48, -4773.00, , 
664.82, -1649.80, , 
-820.75, -341.52, , 
428.33, -2381.42, , 
1508.86, -1173.90, , 
465.99, -3146.75, , 
-1152.90, -4045.46, , 
-2297.32, -3160.56, , 
917.93, -2012.22, , 
-2605.68, -1512.27, , 
1874.88, -4645.52, , 
2294.68, -4147.56, , 
-3169.04, -4582.67, , 
-754.75, -1574.07, , 
-1237.44, -5418.86, , 
-5030.18, -2315.41, , 
-677.20, -4124.21, , 
-1149.13, -760.86, , 
-1119.93, -3100.00, , 
996.90, -3905.22, , 
-1460.30, -3358.36, , 
-2288.19, -3489.17, , 
602.09, -3513.22, , 
-137.19, -2813.59, , 
-302.28, -3017.65, , 
-2649.31, -2637.09, , 
-3771.36, -1967.66, , 
-1341.77, -1096.76, , 
-279.26, -3645.55, , 
1367.64, -1752.25, , 
779.80, -1415.64, , 
776.37, -2329.92, , 
-2317.97, -3755.32, , 
462.06, -2711.73, , 
-1464.51, -1314.73, , 
-2353.34, -3813.78, , 
197.67, -4063.60, , 
394.40, -1339.88, , 
137.02, 2577.34, , 
-2145.76, -3231.59, , 
541.16, -4242.19, , 
-1278.39, -1295.99, , 
-852.21, -5194.14, , 
1485.07, -2328.63, , 
-1390.90, -3054.29, , 
177.87, -5441.18, , 
-1654.43, -1206.84, , 
-499.31, -2024.38, , 
-3132.98, -2075.94, , 
1588.44, -2583.45, , 
-3001.83, -3421.11, , 
775.55, -2512.09, , 
280.61, -4588.13, , 
-1901.87, -3051.69, , 
2316.84, -1528.68, , 
1633.23, -1070.46, , 
-523.57, -1834.80, , 
1058.86, 1247.14, , 
-2566.23, -598.95, , 
-1362.84, -115.59, , 
618.29, -1874.23, , 
-2549.33, -1790.91, , 
-2288.30, -3703.20, , 
1281.62, -1294.40, , 
1316.71, -1086.46, , 
83.52, -1015.03, , 
649.20, -2631.46, , 
-739.65, -107.17, , 
1652.97, -1410.87, , 
2638.73, 44.75, , 
34.95, -1336.61, , 
-826.43, 247.65, , 
2096.75, -816.10, , 
1577.88, 2200.41, , 
-321.37, -2111.35, , 
2007.90, -2218.68, , 
1776.18, -446.86, , 
-1957.59, 323.61, , 
639.90, 1013.97, , 
1092.35, 880.64, , 
-137.66, 2589.44, , 
-140.30, 2547.55, , 
1821.90, 4572.12, , 
-284.21, 1613.22, , 
-2490.29, 4409.76, , 
-1837.88, 1383.78, , 
-2050.97, 485.71, , 
1096.18, -548.62, , 
1538.05, 2629.96, , 
-661.91, 5552.66, , 
513.32, 5502.08, , 
-530.02, 2045.52, , 
-1256.04, 3851.87, , 
-138.43, 3467.49, , 
137.39, 3808.12, , 
-2192.77, 3241.74, , 
-847.43, 5296.62, , 
-241.92, 2477.90, , 
-46.07, 3209.21, , 
-2675.67, 1293.55, , 
104.89, -856.66, , 
-905.10, 1133.93, , 
3459.96, -475.15, , 
-2004.20, -402.12, , 
497.60, 120.10, , 
-789.72, -715.26, , 
-838.98, -2150.06, , 
-194.09, -1014.98, , 
-3.27, -2109.79, , 
1243.96, -878.39, , 
1782.91, -1940.89, , 
-1013.96, -2585.86, , 
1137.51, -1934.66, , 
257.98, -1600.88, , 
-463.02, 98.68, , 
413.96, -251.88, , 
2346.62, 804.88, , 
540.18, 1440.01, , 
-2231.81, -4464.38, , 
-2062.45, -1155.87, , 
-807.61, 1284.43, , 
-584.32, -1474.46, , 
-2095.68, 714.45, , 
1641.39, 2456.43, , 
4153.65, 9677.72, , 
4408.83, 11095.29, , 
-534.52, 10921.26, , 
-2480.44, 5604.88, , 
1517.76, 7681.89, , 
1532.18, 10066.22, , 
724.29, 1401.92, , 
-1268.45, 5086.01, , 
-662.15, 2395.75, , 
835.94, 4416.37, , 
534.49, 553.52, , 
2809.03, 2314.73, , 
315.34, 1388.07, , 
2586.22, 5437.56, , 
2675.61, 2277.74, , 
540.21, 18901.21, , 
3579.05, 11000.59, , 
-1831.37, 10771.56, , 
1111.71, 12904.89, , 
688.83, 9161.63, , 
3718.67, 5357.70, , 
657.64, 4616.76, , 
-978.05, 4696.06, , 
1075.83, 6395.28, , 
-167.60, 5581.70, , 
-746.54, 2429.00, , 
1296.50, 5711.43, , 
-1294.38, 7531.25, , 
1204.05, 4372.26, , 
2160.46, 6822.71, , 
1030.80, 7453.09, , 
-956.06, 8295.12, , 
-2439.41, 8243.74, , 
-2240.74, 3227.18, , 
-2189.11, 8784.52, , 
1181.26, 8301.02, , 
1520.44, 4407.61, , 
-601.84, 6534.14, , 
-1000.76, 7513.86, , 
1082.73, 8815.44, , 
2130.61, 6231.54, , 
-1342.07, 5829.89, , 
-1343.74, 6705.02, , 
-473.30, 6260.38, , 
3003.53, 8018.33, , 
-1463.85, 5083.39, , 
513.43, 8335.08, , 
-746.05, 6537.40, , 
200.32, 9314.65, , 
-1909.08, 10437.84, , 
-539.36, 7940.62, , 
