donor, acceptor, , 
23668.81, -9038.55, , 
27083.17, -7860.71, , 
36668.54, -3684.43, , 
36967.74, -609.97, , 
43081.27, -3566.12, , 
25016.74, -3262.90, , 
29173.47, 759.97, , 
35196.62, -2956.94, , 
33881.69, -2426.12, , 
42748.81, -3780.63, , 
34827.46, -4599.19, , 
34649.17, 248.10, , 
34768.95, -2706.28, , 
26991.74, -947.00, , 
27674.48, -5556.15, , 
35639.68, -292.88, , 
33603.36, -6577.72, , 
29024.19, -3859.97, , 
28985.33, -2819.06, , 
39348.73, -520.25, , 
30216.98, 2213.34, , 
40355.37, 3497.53, , 
38380.38, -165.79, , 
27064.58, 3835.32, , 
25019.31, 1352.40, , 
28835.91, 5653.51, , 
28477.27, 1525.87, , 
3248.02, 753.38, , 
6602.38, 3313.69, , 
579.08, 2984.83, , 
2298.02, 4338.57, , 
2813.60, 5620.51, , 
6370.84, 9925.75, , 
7655.89, 7015.96, , 
4392.80, 10008.48, , 
3992.38, 5963.89, , 
5664.58, 3817.30, , 
8015.48, 1835.93, , 
3464.37, -2056.53, , 
9164.15, -15.89, , 
4302.87, -480.80, , 
8299.69, -1779.06, , 
6740.06, 1007.46, , 
6724.63, 1436.07, , 
6422.11, 65.45, , 
4702.73, 813.37, , 
5349.80, 938.52, , 
4131.07, 3169.92, , 
984.38, 820.58, , 
6922.82, 3000.96, , 
791.39, -453.34, , 
3791.50, 4078.19, , 
1380.21, 306.67, , 
4059.33, 162.20, , 
4207.88, 1276.23, , 
5744.70, 235.50, , 
5038.56, -490.73, , 
5586.62, -541.22, , 
6197.68, 855.70, , 
2559.44, 924.33, , 
-303.40, -189.22, , 
5311.03, 2591.49, , 
5060.58, 3241.27, , 
2483.04, 5648.20, , 
4215.08, 4220.71, , 
2958.51, 1023.30, , 
3760.96, 2536.13, , 
5149.60, -720.21, , 
8337.54, 3882.18, , 
2751.14, 2517.98, , 
2202.67, 6564.54, , 
5722.97, 3391.98, , 
4426.77, 1438.51, , 
5916.35, 2426.09, , 
5383.33, 2967.99, , 
4649.55, 5852.45, , 
6192.90, 3638.41, , 
3379.64, 3328.13, , 
4973.95, 1429.44, , 
7016.47, 2153.49, , 
5946.13, 1586.27, , 
5215.44, 3654.14, , 
5695.83, 791.95, , 
6389.78, 304.89, , 
4527.13, 4373.74, , 
5353.13, 3175.86, , 
2842.48, 3268.79, , 
4711.72, 3968.77, , 
8020.50, 3601.86, , 
6337.43, 25.44, , 
5707.27, 1638.52, , 
6766.90, 3377.87, , 
5224.87, 3416.42, , 
6312.79, 2872.57, , 
2651.16, 3396.10, , 
3468.52, 6189.45, , 
3894.62, 2681.82, , 
5270.37, 4170.81, , 
3646.60, 1349.52, , 
3869.39, 2285.52, , 
5023.82, 1934.33, , 
4362.19, 2197.78, , 
7211.13, 1092.25, , 
312.32, 3327.63, , 
3112.69, 2499.44, , 
2339.26, 3874.99, , 
3747.44, 723.46, , 
793.61, 3174.21, , 
2667.65, 1773.42, , 
4371.66, 4628.08, , 
4239.38, 2262.28, , 
5907.06, 370.17, , 
6754.76, 2147.09, , 
4492.75, 3067.23, , 
3722.94, -2018.29, , 
